train_1,train_2,train_3,train_4,train_5,train_6,train_7,train_8,train_9,train_10,train_11,train_12,train_13,train_14,train_15,train_16,train_17,train_18,train_19,train_20,train_21,train_22,train_23,train_24,train_25,train_26,train_27,train_28,train_29,train_30,train_31,train_32,train_33,train_34,train_35,train_36,train_37,train_38,train_39,train_40,train_41,train_42,train_43,train_44,train_45,train_46,train_47,train_48,train_49,train_50,train_51,train_52,train_53
0.312924497,747.1932269,8061.653884,8.488359095,31.67976254,45.5964551,2791.367478,63.99501245,124.231505,0.285041456,89.58268422,52.26179823,2696.685793,26.4990879,50.39521223,3317.724037,22.89773014,64.46403189,6.289159869,274.1280978,108.6138904,90.81457387,34.86210906,8.184619765,19.39202011,1.202580102,25.71572197,5.504398832,36.70309105,11.78220175,14.5606186,0.127798276,22.62201547,7.247404213,1.295895247,5.660975392,0.001873667,0.988822463,0.307341949,11.71957078,85.501163,12.58648958,96.41145818,30.70328473,56.04375015,1,34.87052331,36.12848951,42.90273511,1,25.19308927,13.66656172,100
0.310246169,735.3393672,8042.943307,8.566882278,31.63257011,45.93265806,2792.485336,63.21848823,124.2390213,0.270643943,89.61386946,50.96840212,2697.844805,26.46224737,49.72138397,3319.188188,22.66912954,64.59254148,5.477128617,273.9156289,108.5890827,90.92603449,34.86210906,8.184619765,19.39202011,1.202580102,25.71572197,5.504398832,36.70309105,11.78220175,14.5606186,0.127798276,22.62201547,7.247404213,1.295895247,5.660975392,0.001873667,0.988822463,0.307341949,11.71957078,85.501163,12.5917489,96.36024947,30.68283893,56.06303685,1,33.55231437,36.11027402,42.85502489,1,25.15854872,13.59037407,100
0.309961253,722.8164233,8022.732847,8.471341994,31.56834868,45.72745099,2794.889523,62.59459875,124.2249303,0.264394409,89.7346594,51.90018073,2699.981009,26.45345296,48.76792853,3322.422315,22.9084877,64.70105165,3.753452383,272.9402605,108.5434068,90.71195411,34.72246296,8.292965472,19.35365769,1.151754371,26.25180682,5.482449542,36.95634245,11.78261169,14.67534272,0.102384865,22.45113666,7.248238286,1.233313652,5.617512928,0.001873667,0.988822463,0.307341949,11.71957078,85.501163,12.59897904,96.33650097,30.66176039,56.06592895,1,32.81492801,36.13054619,42.82094068,1,25.43253723,13.36676512,100
0.312693087,713.9036631,8030.875545,8.631154955,31.42159428,45.93522971,2796.931528,63.9289619,124.2232196,0.25919549,89.75463834,52.28158664,2701.424953,26.39559025,49.38792069,3324.52062,22.79647709,64.77348685,4.622413934,272.326938,108.5546329,90.84058723,34.72246296,8.292965472,19.35365769,1.151754371,26.25180682,5.482449542,36.95634245,11.78261169,14.67534272,0.102384865,22.45113666,7.248238286,1.233313652,5.617512928,0.001873667,0.988822463,0.307341949,11.71957078,85.501163,12.60122347,96.30363242,30.64106626,56.06648667,1,32.44803378,36.1100141,42.77772389,1,25.30798799,12.88031751,100
0.311185441,754.5678405,8029.820072,8.559394738,31.48517501,45.85681904,2798.243956,64.5525559,124.2112648,0.263353889,89.82691908,50.31611603,2703.838067,26.7157123,51.97983744,3326.266911,22.84862273,64.86052054,3.781294303,271.4382896,108.5255002,90.70037362,34.37000065,8.29792893,19.56636799,1.128553261,25.79776389,5.508556364,36.55041281,11.63898325,14.79656973,0.142011885,22.93997927,7.265698523,1.306259359,5.654156459,0.001873667,0.988822463,0.307341949,11.71957078,85.501163,12.61646258,96.30676598,30.64267104,56.04643555,1,32.55927103,36.12757536,42.75687827,1,25.27876787,15.4422215,100
0.31203578,739.1097533,8044.568184,8.437974001,31.54525412,45.63502814,2800.453303,62.89789004,124.1954603,0.26685461,89.86429887,51.74138316,2705.606186,26.39577103,50.53892805,3329.179228,22.73819499,64.89888339,3.517620881,271.1035781,108.5088821,90.68595694,34.37000065,8.29792893,19.56636799,1.128553261,25.79776389,5.508556364,36.55041281,11.63898325,14.79656973,0.142011885,22.93997927,7.265698523,1.306259359,5.654156459,0.005366974,1.002111414,0.299444451,11.63567175,86.00964056,12.62194285,96.25005502,30.64265519,56.04749817,1,33.13816498,36.07046732,42.68495286,1,25.26096336,14.75999984,100
0.312538791,711.4575923,8014.973463,8.573467518,31.40104543,45.54260119,2802.406466,63.88233797,124.1949411,0.272280353,89.80204114,50.171908,2708.209301,26.43213877,51.3257228,3331.181969,22.80756349,64.93131622,6.228979584,270.8702855,108.530159,90.66099963,33.46558065,8.153130477,20.19499206,1.121930732,25.84275733,5.551665196,35.79751901,11.86765014,15.67952102,0.167094668,22.21613145,7.255546861,1.303794729,5.730223994,0.005366974,1.002111414,0.299444451,11.63567175,86.00964056,12.631673,96.26740927,30.87822447,56.06414879,1,34.13200345,36.05031758,42.69572859,1,25.39634863,12.3091199,100
0.316738552,730.4478401,8051.731074,8.620527426,31.11243488,45.37343665,2804.215345,64.48553177,124.2037392,0.28316872,89.77719248,50.19193591,2710.094154,26.53974571,52.69109747,3333.456536,22.89064214,64.93078365,4.9553917,269.7760559,108.5233152,90.43328569,33.46558065,8.153130477,20.19499206,1.121930732,25.84275733,5.551665196,35.79751901,11.86765014,15.67952102,0.167094668,22.21613145,7.255546861,1.303794729,5.730223994,0.005366974,1.002111414,0.299444451,11.63567175,86.00964056,12.62339567,96.26148923,31.094227,56.03949539,1,35.47226573,36.03472657,42.68125168,1,25.18282687,10.59322512,100
0.323730638,751.6441062,8033.952724,8.573451673,31.25285643,45.76899156,2805.646579,64.46483559,124.1834162,0.29598051,89.69098834,51.28060071,2710.500811,26.42157749,53.41753913,3334.598017,22.76986374,64.91394657,3.451075342,268.9545451,108.5707751,90.31367693,33.84505864,8.156313037,20.55077213,1.055511651,25.99603957,5.527676067,35.36713736,11.63576918,16.26391061,0.448535656,22.55118541,7.279387835,1.322358826,5.736835596,0.005366974,1.002111414,0.299444451,11.63567175,86.00964056,12.61409609,96.2463568,31.90215733,55.94098862,1,37.11725845,36.03301372,42.67189598,1,25.32888236,13.65635475,100
0.333947627,746.277362,8027.097602,8.4821268,31.22484015,45.25936856,2807.767021,64.48758951,124.1990854,0.309282263,89.77038014,51.14623011,2713.840979,26.69424297,52.73174852,3337.051526,22.7428931,64.90148577,4.060872741,268.9469427,108.5725457,90.80880358,33.84505864,8.156313037,20.55077213,1.055511651,25.99603957,5.527676067,35.36713736,11.63576918,16.26391061,0.448535656,22.55118541,7.279387835,1.322358826,5.736835596,0.005366974,1.002111414,0.299444451,11.63567175,86.00964056,12.61917037,96.24410578,32.64418919,55.87734665,1,39.076958,35.98367326,42.65734425,1,25.2754216,15.34802168,100
